"","V1"
"1531",32
"1532",32
"1533",4
"1534",3
"1535",32
"1536",49
"1537",32
"1538",22
"1539",4
"1540",29
"1541",32
"1542",49
"1543",27
"1544",4
"1545",3
"1546",29
"1547",32
"1548",24
"1549",32
"1550",32
"1551",32
"1552",27
"1553",49
"1554",18
"1555",49
"1556",32
"1557",49
"1558",36
"1559",17
"1560",29
"1561",32
"1562",33
"1563",32
"1564",32
"1565",33
"1566",4
"1567",37
"1568",33
"1569",33
"1570",32
"1571",33
"1572",35
"1573",30
"1574",35
"1575",33
"1576",29
"1577",12
"1578",3
"1579",33
"1580",33
"1581",33
"1582",33
"1583",29
"1584",34
"1585",33
"1586",24
"1587",3
"1588",3
"1589",21
"1590",24
"1591",33
"1592",32
"1593",1
"1594",32
"1595",32
"1596",32
"1597",3
"1598",33
"1599",4
"1600",33
"1601",33
"1602",12
"1603",32
"1604",33
"1605",33
"1606",32
"1607",32
"1608",33
"1609",35
"1610",32
"1611",33
"1612",32
"1613",32
"1614",32
"1615",24
"1616",12
"1617",27
"1618",40
"1619",47
"1620",32
"1621",47
"1622",32
"1623",33
"1624",33
"1625",32
"1626",37
"1627",4
"1628",32
"1629",32
"1630",32
"1631",37
"1632",33
"1633",27
"1634",32
"1635",47
"1636",12
"1637",37
"1638",33
"1639",37
"1640",32
"1641",4
"1642",32
"1643",33
"1644",32
"1645",33
"1646",32
"1647",33
"1648",33
"1649",33
"1650",8
"1651",32
"1652",32
"1653",33
"1654",33
"1655",29
"1656",24
"1657",21
"1658",32
"1659",29
"1660",34
"1661",37
"1662",29
"1663",3
"1664",12
"1665",33
"1666",3
"1667",17
"1668",33
"1669",24
"1670",33
"1671",33
"1672",32
"1673",33
"1674",33
"1675",33
"1676",32
"1677",33
"1678",33
"1679",4
"1680",33
"1681",33
"1682",33
"1683",33
"1684",37
"1685",21
"1686",4
"1687",4
"1688",33
"1689",3
"1690",33
"1691",32
"1692",32
"1693",32
"1694",32
"1695",33
"1696",32
"1697",17
"1698",29
"1699",32
"1700",47
"1701",4
"1702",33
"1703",35
"1704",13
"1705",33
"1706",33
"1707",17
"1708",32
"1709",33
